R,F,M,r_quartile,f_quartile,m_quartile,RFM_Score,customer_class
51,1,226.23,1,0,1,101,频次深耕客户
113,1,44.23,1,0,0,100,重要客户预警流失客户
109,2,1092.24,1,1,1,111,重要价值客户
224,1,21.77,0,0,0,000,流失客户
474,1,42.62,0,0,0,000,流失客户
384,1,162.77,0,0,0,000,流失客户
210,1,109.5,1,0,0,100,重要客户预警流失客户
212,1,237.0,1,0,1,101,频次深耕客户
277,1,65.78,0,0,0,000,流失客户
214,1,443.73,1,0,1,101,频次深耕客户
520,1,143.73,0,0,0,000,流失客户
412,1,228.79,0,0,1,001,新客户
149,1,107.81,1,0,0,100,重要客户预警流失客户
23,1,119.32,1,0,0,100,重要客户预警流失客户
35,1,181.82,1,0,0,100,重要客户预警流失客户
15,1,157.46,1,0,0,100,重要客户预警流失客户
165,1,36.98,1,0,0,100,重要客户预警流失客户
14,1,216.32,1,0,1,101,频次深耕客户
22,1,147.38,1,0,0,100,重要客户预警流失客户
236,1,142.51,0,0,0,000,流失客户
271,1,178.59,0,0,0,000,流失客户
119,1,542.66,1,0,1,101,频次深耕客户
534,1,137.26,0,0,0,000,流失客户
134,2,127.48,1,1,0,110,高消费唤醒客户
282,1,162.79,0,0,0,000,流失客户
30,1,77.59,1,0,0,100,重要客户预警流失客户
113,1,103.47,1,0,0,100,重要客户预警流失客户
313,2,867.96,0,1,1,011,消费潜力客户
159,1,259.15,1,0,1,101,频次深耕客户
227,2,354.37,0,1,1,011,消费潜力客户
270,1,85.04,0,0,0,000,流失客户
34,1,62.91,1,0,0,100,重要客户预警流失客户
496,1,64.42,0,0,0,000,流失客户
445,1,52.38,0,0,0,000,流失客户
540,1,128.95,0,0,0,000,流失客户
83,1,83.32,1,0,0,100,重要客户预警流失客户
70,1,24.13,1,0,0,100,重要客户预警流失客户
392,1,112.33,0,0,0,000,流失客户
366,1,76.18,0,0,0,000,流失客户
13,1,82.65,1,0,0,100,重要客户预警流失客户
21,1,41.04,1,0,0,100,重要客户预警流失客户
243,1,32.77,0,0,0,000,流失客户
441,1,26.01,0,0,0,000,流失客户
540,2,218.08,0,1,1,011,消费潜力客户
41,1,44.18,1,0,0,100,重要客户预警流失客户
256,1,84.01,0,0,0,000,流失客户
94,1,49.85,1,0,0,100,重要客户预警流失客户
24,1,158.74,1,0,0,100,重要客户预警流失客户
197,1,39.78,1,0,0,100,重要客户预警流失客户
44,1,993.55,1,0,1,101,频次深耕客户
387,1,109.29,0,0,0,000,流失客户
125,2,378.16,1,1,1,111,重要价值客户
17,2,397.4,1,1,1,111,重要价值客户
119,1,68.22,1,0,0,100,重要客户预警流失客户
515,1,127.98,0,0,0,000,流失客户
149,1,1600.51,1,0,1,101,频次深耕客户
122,1,58.25,1,0,0,100,重要客户预警流失客户
277,1,73.96,0,0,0,000,流失客户
543,1,364.75,0,0,1,001,新客户
196,1,83.23,1,0,0,100,重要客户预警流失客户
20,1,171.88,1,0,0,100,重要客户预警流失客户
151,1,109.23,1,0,0,100,重要客户预警流失客户
39,2,516.76,1,1,1,111,重要价值客户
297,1,32.38,0,0,0,000,流失客户
8,1,82.86,1,0,0,100,重要客户预警流失客户
103,1,78.88,1,0,0,100,重要客户预警流失客户
159,2,96.02000000000001,1,1,0,110,高消费唤醒客户
442,1,46.69,0,0,0,000,流失客户
110,1,89.25,1,0,0,100,重要客户预警流失客户
359,1,49.6,0,0,0,000,流失客户
332,1,187.96,0,0,0,000,流失客户
98,1,777.68,1,0,1,101,频次深耕客户
300,1,63.9,0,0,0,000,流失客户
33,1,272.04,1,0,1,101,频次深耕客户
349,1,236.81,0,0,1,001,新客户
360,1,204.83,0,0,1,001,新客户
156,1,31.13,1,0,0,100,重要客户预警流失客户
140,1,154.53,1,0,0,100,重要客户预警流失客户
185,1,149.87,1,0,0,100,重要客户预警流失客户
229,2,142.76,0,1,0,010,一般客户
180,4,1076.8,1,1,1,111,重要价值客户
69,1,65.33,1,0,0,100,重要客户预警流失客户
183,1,23.72,1,0,0,100,重要客户预警流失客户
324,1,119.32,0,0,0,000,流失客户
52,1,31.22,1,0,0,100,重要客户预警流失客户
359,1,94.35,0,0,0,000,流失客户
71,1,190.28,1,0,0,100,重要客户预警流失客户
64,1,79.51,1,0,0,100,重要客户预警流失客户
276,1,66.64,0,0,0,000,流失客户
270,2,601.2,0,1,1,011,消费潜力客户
141,1,108.46,1,0,0,100,重要客户预警流失客户
194,1,34.0,1,0,0,100,重要客户预警流失客户
75,1,77.22,1,0,0,100,重要客户预警流失客户
389,1,99.32,0,0,0,000,流失客户
261,1,199.79,0,0,0,000,流失客户
317,1,61.77,0,0,0,000,流失客户
199,1,46.1,1,0,0,100,重要客户预警流失客户
393,1,123.39,0,0,0,000,流失客户
18,1,47.93,1,0,0,100,重要客户预警流失客户
102,1,118.54,1,0,0,100,重要客户预警流失客户
226,1,211.01,0,0,1,001,新客户
158,1,78.2,1,0,0,100,重要客户预警流失客户
111,1,624.9,1,0,1,101,频次深耕客户
202,1,233.93,1,0,1,101,频次深耕客户
56,1,119.45,1,0,0,100,重要客户预警流失客户
383,1,215.01,0,0,1,001,新客户
396,1,70.53,0,0,0,000,流失客户
341,1,321.57,0,0,1,001,新客户
71,1,159.65,1,0,0,100,重要客户预警流失客户
170,1,874.42,1,0,1,101,频次深耕客户
114,1,66.72,1,0,0,100,重要客户预警流失客户
250,1,44.09,0,0,0,000,流失客户
500,1,112.08,0,0,0,000,流失客户
142,1,67.36,1,0,0,100,重要客户预警流失客户
275,1,41.69,0,0,0,000,流失客户
272,1,64.0,0,0,0,000,流失客户
206,1,126.48,1,0,0,100,重要客户预警流失客户
337,1,90.85,0,0,0,000,流失客户
106,1,40.94,1,0,0,100,重要客户预警流失客户
83,1,147.78,1,0,0,100,重要客户预警流失客户
239,1,67.57,0,0,0,000,流失客户
171,1,70.75,1,0,0,100,重要客户预警流失客户
235,1,42.35,0,0,0,000,流失客户
510,1,64.55,0,0,0,000,流失客户
211,3,1513.41,1,1,1,111,重要价值客户
160,1,349.53,1,0,1,101,频次深耕客户
405,1,260.55,0,0,1,001,新客户
67,1,183.05,1,0,0,100,重要客户预警流失客户
558,1,151.11,0,0,0,000,流失客户
7,2,181.0,1,1,0,110,高消费唤醒客户
171,1,45.13,1,0,0,100,重要客户预警流失客户
13,1,136.64,1,0,0,100,重要客户预警流失客户
371,1,132.05,0,0,0,000,流失客户
137,1,64.04,1,0,0,100,重要客户预警流失客户
580,1,336.56,0,0,1,001,新客户
454,1,40.77,0,0,0,000,流失客户
273,1,166.59,0,0,0,000,流失客户
350,1,30.27,0,0,0,000,流失客户
392,1,25.85,0,0,0,000,流失客户
205,1,108.83,1,0,0,100,重要客户预警流失客户
432,1,93.78,0,0,0,000,流失客户
280,1,149.69,0,0,0,000,流失客户
442,1,226.22,0,0,1,001,新客户
274,1,43.58,0,0,0,000,流失客户
518,1,185.83,0,0,0,000,流失客户
56,1,89.1,1,0,0,100,重要客户预警流失客户
434,1,110.72,0,0,0,000,流失客户
532,4,3080.96,0,1,1,011,消费潜力客户
397,1,186.92,0,0,0,000,流失客户
197,1,147.97,1,0,0,100,重要客户预警流失客户
347,1,35.4,0,0,0,000,流失客户
275,1,101.73,0,0,0,000,流失客户
132,7,1593.4099999999999,1,1,1,111,重要价值客户
240,2,66.91,0,1,0,010,一般客户
82,1,79.38,1,0,0,100,重要客户预警流失客户
128,1,98.16,1,0,0,100,重要客户预警流失客户
498,1,147.55,0,0,0,000,流失客户
147,1,21.04,1,0,0,100,重要客户预警流失客户
126,1,136.8,1,0,0,100,重要客户预警流失客户
436,1,49.69,0,0,0,000,流失客户
123,1,144.31,1,0,0,100,重要客户预警流失客户
15,1,199.26,1,0,0,100,重要客户预警流失客户
70,1,42.47,1,0,0,100,重要客户预警流失客户
245,1,101.34,0,0,0,000,流失客户
30,1,114.58,1,0,0,100,重要客户预警流失客户
273,1,36.48,0,0,0,000,流失客户
546,1,66.99,0,0,0,000,流失客户
9,1,116.84,1,0,0,100,重要客户预警流失客户
87,2,123.25,1,1,0,110,高消费唤醒客户
199,1,105.08,1,0,0,100,重要客户预警流失客户
418,1,60.05,0,0,0,000,流失客户
242,1,182.29,0,0,0,000,流失客户
504,1,64.42,0,0,0,000,流失客户
162,4,259.4,1,1,1,111,重要价值客户
194,1,132.48,1,0,0,100,重要客户预警流失客户
148,1,33.37,1,0,0,100,重要客户预警流失客户
270,1,144.66,0,0,0,000,流失客户
275,1,40.6,0,0,0,000,流失客户
488,1,231.45,0,0,1,001,新客户
67,1,78.51,1,0,0,100,重要客户预警流失客户
519,1,100.54,0,0,0,000,流失客户
294,2,4296.8,0,1,1,011,消费潜力客户
110,5,1380.5500000000002,1,1,1,111,重要价值客户
350,1,140.0,0,0,0,000,流失客户
232,2,297.52,0,1,1,011,消费潜力客户
396,1,138.41,0,0,0,000,流失客户
264,1,418.17,0,0,1,001,新客户
110,2,129.16,1,1,0,110,高消费唤醒客户
222,1,226.14,0,0,1,001,新客户
279,1,146.9,0,0,0,000,流失客户
186,1,177.59,1,0,0,100,重要客户预警流失客户
88,1,35.05,1,0,0,100,重要客户预警流失客户
26,1,103.27,1,0,0,100,重要客户预警流失客户
148,1,283.54,1,0,1,101,频次深耕客户
322,2,107.78,0,1,0,010,一般客户
275,1,106.16,0,0,0,000,流失客户
439,1,128.59,0,0,0,000,流失客户
69,1,181.05,1,0,0,100,重要客户预警流失客户
161,1,223.88,1,0,1,101,频次深耕客户
28,1,94.36,1,0,0,100,重要客户预警流失客户
413,2,282.28,0,1,1,011,消费潜力客户
227,1,45.07,0,0,0,000,流失客户
303,1,77.57,0,0,0,000,流失客户
170,1,63.61,1,0,0,100,重要客户预警流失客户
204,1,16.78,1,0,0,100,重要客户预警流失客户
281,2,55.599999999999994,0,1,0,010,一般客户
123,1,169.37,1,0,0,100,重要客户预警流失客户
103,1,121.68,1,0,0,100,重要客户预警流失客户
277,2,68.66,0,1,0,010,一般客户
284,1,673.69,0,0,1,001,新客户
244,2,253.32,0,1,1,011,消费潜力客户
530,1,204.24,0,0,1,001,新客户
180,1,88.94,1,0,0,100,重要客户预警流失客户
75,1,388.74,1,0,1,101,频次深耕客户
33,1,2304.68,1,0,1,101,频次深耕客户
272,1,111.32,0,0,0,000,流失客户
284,1,130.15,0,0,0,000,流失客户
124,1,57.93,1,0,0,100,重要客户预警流失客户
177,1,36.69,1,0,0,100,重要客户预警流失客户
301,1,73.62,0,0,0,000,流失客户
529,2,828.12,0,1,1,011,消费潜力客户
271,1,72.05,0,0,0,000,流失客户
276,1,67.79,0,0,0,000,流失客户
313,1,83.01,0,0,0,000,流失客户
38,1,170.68,1,0,0,100,重要客户预警流失客户
127,1,138.74,1,0,0,100,重要客户预警流失客户
32,1,85.27,1,0,0,100,重要客户预警流失客户
262,1,85.14,0,0,0,000,流失客户
85,1,437.84,1,0,1,101,频次深耕客户
29,1,41.64,1,0,0,100,重要客户预警流失客户
525,2,126.2,0,1,0,010,一般客户
257,1,71.13,0,0,0,000,流失客户
498,1,187.94,0,0,0,000,流失客户
523,1,95.22,0,0,0,000,流失客户
113,1,68.32,1,0,0,100,重要客户预警流失客户
428,1,95.21,0,0,0,000,流失客户
122,2,182.0,1,1,0,110,高消费唤醒客户
134,1,284.23,1,0,1,101,频次深耕客户
132,1,37.13,1,0,0,100,重要客户预警流失客户
438,1,35.09,0,0,0,000,流失客户
222,1,178.46,0,0,0,000,流失客户
146,2,284.0,1,1,1,111,重要价值客户
27,1,280.65,1,0,1,101,频次深耕客户
440,1,115.4,0,0,0,000,流失客户
60,1,67.43,1,0,0,100,重要客户预警流失客户
46,1,124.83,1,0,0,100,重要客户预警流失客户
9,1,23.28,1,0,0,100,重要客户预警流失客户
424,1,92.05,0,0,0,000,流失客户
262,1,246.38,0,0,1,001,新客户
224,1,27.87,0,0,0,000,流失客户
204,1,51.14,1,0,0,100,重要客户预警流失客户
111,1,71.85,1,0,0,100,重要客户预警流失客户
209,2,372.69,1,1,1,111,重要价值客户
189,1,127.14,1,0,0,100,重要客户预警流失客户
104,3,740.97,1,1,1,111,重要价值客户
129,1,351.33,1,0,1,101,频次深耕客户
399,1,212.43,0,0,1,001,新客户
271,2,292.36,0,1,1,011,消费潜力客户
475,1,109.31,0,0,0,000,流失客户
55,1,168.08,1,0,0,100,重要客户预警流失客户
372,1,137.99,0,0,0,000,流失客户
277,1,28.69,0,0,0,000,流失客户
259,1,65.0,0,0,0,000,流失客户
40,1,73.01,1,0,0,100,重要客户预警流失客户
44,1,123.49,1,0,0,100,重要客户预警流失客户
226,1,147.15,0,0,0,000,流失客户
144,1,185.9,1,0,0,100,重要客户预警流失客户
359,1,215.05,0,0,1,001,新客户
136,1,128.45,1,0,0,100,重要客户预警流失客户
284,1,95.83,0,0,0,000,流失客户
241,1,44.09,0,0,0,000,流失客户
336,1,68.89,0,0,0,000,流失客户
168,1,81.24,1,0,0,100,重要客户预警流失客户
273,1,45.2,0,0,0,000,流失客户
207,1,159.31,1,0,0,100,重要客户预警流失客户
499,1,34.86,0,0,0,000,流失客户
223,2,584.44,0,1,1,011,消费潜力客户
161,1,127.71,1,0,0,100,重要客户预警流失客户
189,1,40.55,1,0,0,100,重要客户预警流失客户
27,1,46.94,1,0,0,100,重要客户预警流失客户
272,1,40.61,0,0,0,000,流失客户
275,2,249.76,0,1,1,011,消费潜力客户
261,1,92.57,0,0,0,000,流失客户
172,4,373.92,1,1,1,111,重要价值客户
43,1,123.75,1,0,0,100,重要客户预警流失客户
542,2,746.44,0,1,1,011,消费潜力客户
444,1,235.13,0,0,1,001,新客户
122,1,29.69,1,0,0,100,重要客户预警流失客户
31,1,148.7,1,0,0,100,重要客户预警流失客户
9,1,39.37,1,0,0,100,重要客户预警流失客户
7,1,42.86,1,0,0,100,重要客户预警流失客户
231,1,159.86,0,0,0,000,流失客户
98,1,87.97,1,0,0,100,重要客户预警流失客户
173,6,28.19,1,1,0,110,高消费唤醒客户
225,3,823.17,0,1,1,011,消费潜力客户
102,1,70.88,1,0,0,100,重要客户预警流失客户
251,1,92.57,0,0,0,000,流失客户
87,1,108.2,1,0,0,100,重要客户预警流失客户
25,3,678.9300000000001,1,1,1,111,重要价值客户
126,1,49.37,1,0,0,100,重要客户预警流失客户
38,1,199.4,1,0,0,100,重要客户预警流失客户
138,1,75.19,1,0,0,100,重要客户预警流失客户
234,1,213.43,0,0,1,001,新客户
307,1,161.62,0,0,0,000,流失客户
369,1,123.47,0,0,0,000,流失客户
98,2,114.52,1,1,0,110,高消费唤醒客户
101,1,36.98,1,0,0,100,重要客户预警流失客户
390,1,227.27,0,0,1,001,新客户
459,1,35.0,0,0,0,000,流失客户
143,1,273.25,1,0,1,101,频次深耕客户
6,1,132.82,1,0,0,100,重要客户预警流失客户
502,1,475.47,0,0,1,001,新客户
365,1,57.11,0,0,0,000,流失客户
458,1,147.96,0,0,0,000,流失客户
210,1,24.68,1,0,0,100,重要客户预警流失客户
283,1,152.17,0,0,0,000,流失客户
364,1,64.0,0,0,0,000,流失客户
162,1,48.72,1,0,0,100,重要客户预警流失客户
236,1,58.59,0,0,0,000,流失客户
46,1,73.47,1,0,0,100,重要客户预警流失客户
315,1,185.03,0,0,0,000,流失客户
136,1,33.54,1,0,0,100,重要客户预警流失客户
382,1,114.26,0,0,0,000,流失客户
278,1,220.54,0,0,1,001,新客户
317,1,47.72,0,0,0,000,流失客户
154,1,110.82,1,0,0,100,重要客户预警流失客户
163,1,125.69,1,0,0,100,重要客户预警流失客户
180,1,115.92,1,0,0,100,重要客户预警流失客户
477,1,69.07,0,0,0,000,流失客户
132,2,214.9,1,1,1,111,重要价值客户
219,1,20.03,0,0,0,000,流失客户
345,1,53.7,0,0,0,000,流失客户
407,1,33.68,0,0,0,000,流失客户
268,1,150.29,0,0,0,000,流失客户
69,2,129.72,1,1,0,110,高消费唤醒客户
288,1,41.75,0,0,0,000,流失客户
190,1,346.45,1,0,1,101,频次深耕客户
240,1,189.84,0,0,0,000,流失客户
107,2,98.09,1,1,0,110,高消费唤醒客户
46,1,78.8,1,0,0,100,重要客户预警流失客户
195,1,80.2,1,0,0,100,重要客户预警流失客户
528,1,4016.91,0,0,1,001,新客户
148,1,30.13,1,0,0,100,重要客户预警流失客户
318,1,55.09,0,0,0,000,流失客户
195,3,386.18,1,1,1,111,重要价值客户
229,1,45.48,0,0,0,000,流失客户
539,1,18.83,0,0,0,000,流失客户
263,1,81.2,0,0,0,000,流失客户
479,1,261.9,0,0,1,001,新客户
328,1,41.84,0,0,0,000,流失客户
275,1,31.38,0,0,0,000,流失客户
315,2,91.77,0,1,0,010,一般客户
356,1,67.5,0,0,0,000,流失客户
107,3,495.33,1,1,1,111,重要价值客户
441,1,100.33,0,0,0,000,流失客户
546,1,117.53,0,0,0,000,流失客户
116,1,96.47,1,0,0,100,重要客户预警流失客户
196,1,84.91,1,0,0,100,重要客户预警流失客户
147,1,88.9,1,0,0,100,重要客户预警流失客户
158,2,756.4,1,1,1,111,重要价值客户
333,1,96.71,0,0,0,000,流失客户
183,1,50.01,1,0,0,100,重要客户预警流失客户
166,1,1429.59,1,0,1,101,频次深耕客户
72,3,1510.38,1,1,1,111,重要价值客户
9,1,38.35,1,0,0,100,重要客户预警流失客户
37,2,885.04,1,1,1,111,重要价值客户
565,2,197.68,0,1,0,010,一般客户
145,1,63.44,1,0,0,100,重要客户预警流失客户
368,1,74.16,0,0,0,000,流失客户
139,1,82.23,1,0,0,100,重要客户预警流失客户
576,1,105.74,0,0,0,000,流失客户
184,1,41.72,1,0,0,100,重要客户预警流失客户
40,2,647.4,1,1,1,111,重要价值客户
503,1,119.39,0,0,0,000,流失客户
365,1,675.01,0,0,1,001,新客户
129,2,368.44,1,1,1,111,重要价值客户
71,1,62.92,1,0,0,100,重要客户预警流失客户
350,1,47.82,0,0,0,000,流失客户
32,3,1178.6399999999999,1,1,1,111,重要价值客户
343,1,58.0,0,0,0,000,流失客户
194,1,63.27,1,0,0,100,重要客户预警流失客户
417,1,90.88,0,0,0,000,流失客户
259,1,150.05,0,0,0,000,流失客户
104,1,133.67,1,0,0,100,重要客户预警流失客户
121,1,167.76,1,0,0,100,重要客户预警流失客户
483,1,70.79,0,0,0,000,流失客户
52,3,40.75,1,1,0,110,高消费唤醒客户
286,2,133.96,0,1,0,010,一般客户
154,1,1005.81,1,0,1,101,频次深耕客户
304,1,142.1,0,0,0,000,流失客户
204,1,24.0,1,0,0,100,重要客户预警流失客户
139,1,139.03,1,0,0,100,重要客户预警流失客户
40,2,245.37,1,1,1,111,重要价值客户
321,2,94.9,0,1,0,010,一般客户
274,3,520.43,0,1,1,011,消费潜力客户
293,1,51.69,0,0,0,000,流失客户
91,1,194.79,1,0,0,100,重要客户预警流失客户
199,1,241.25,1,0,1,101,频次深耕客户
187,1,790.32,1,0,1,101,频次深耕客户
341,1,150.87,0,0,0,000,流失客户
355,1,41.05,0,0,0,000,流失客户
318,1,65.71,0,0,0,000,流失客户
43,1,32.23,1,0,0,100,重要客户预警流失客户
89,1,27.29,1,0,0,100,重要客户预警流失客户
50,1,142.71,1,0,0,100,重要客户预警流失客户
172,1,20.29,1,0,0,100,重要客户预警流失客户
563,1,111.01,0,0,0,000,流失客户
21,1,74.5,1,0,0,100,重要客户预警流失客户
2,1,23.29,1,0,0,100,重要客户预警流失客户
243,2,138.39000000000001,0,1,0,010,一般客户
207,4,28.810000000000002,1,1,0,110,高消费唤醒客户
147,1,241.48,1,0,1,101,频次深耕客户
64,1,46.92,1,0,0,100,重要客户预警流失客户
525,1,39.42,0,0,0,000,流失客户
164,1,47.29,1,0,0,100,重要客户预警流失客户
317,1,89.17,0,0,0,000,流失客户
510,1,49.52,0,0,0,000,流失客户
173,1,78.19,1,0,0,100,重要客户预警流失客户
275,1,97.03,0,0,0,000,流失客户
19,1,87.58,1,0,0,100,重要客户预警流失客户
166,3,290.61,1,1,1,111,重要价值客户
295,1,44.1,0,0,0,000,流失客户
526,1,192.41,0,0,0,000,流失客户
324,1,211.6,0,0,1,001,新客户
18,1,58.05,1,0,0,100,重要客户预警流失客户
211,1,95.31,1,0,0,100,重要客户预警流失客户
485,2,315.12,0,1,1,011,消费潜力客户
151,1,98.6,1,0,0,100,重要客户预警流失客户
322,4,293.36,0,1,1,011,消费潜力客户
26,1,93.28,1,0,0,100,重要客户预警流失客户
301,1,67.6,0,0,0,000,流失客户
489,1,77.06,0,0,0,000,流失客户
232,1,308.64,0,0,1,001,新客户
53,1,44.87,1,0,0,100,重要客户预警流失客户
185,1,86.15,1,0,0,100,重要客户预警流失客户
43,2,523.6,1,1,1,111,重要价值客户
425,1,261.24,0,0,1,001,新客户
184,1,99.82,1,0,0,100,重要客户预警流失客户
220,1,209.95,0,0,1,001,新客户
326,1,118.02,0,0,0,000,流失客户
201,1,60.85,1,0,0,100,重要客户预警流失客户
285,2,179.16,0,1,0,010,一般客户
431,1,317.35,0,0,1,001,新客户
327,1,47.69,0,0,0,000,流失客户
266,1,85.14,0,0,0,000,流失客户
277,1,163.68,0,0,0,000,流失客户
173,3,269.64,1,1,1,111,重要价值客户
212,1,66.01,1,0,0,100,重要客户预警流失客户
90,1,117.51,1,0,0,100,重要客户预警流失客户
74,1,205.86,1,0,1,101,频次深耕客户
16,1,78.19,1,0,0,100,重要客户预警流失客户
473,2,949.92,0,1,1,011,消费潜力客户
40,3,1012.14,1,1,1,111,重要价值客户
385,1,222.24,0,0,1,001,新客户
262,1,39.28,0,0,0,000,流失客户
50,1,214.13,1,0,1,101,频次深耕客户
265,1,88.72,0,0,0,000,流失客户
405,3,913.6800000000001,0,1,1,011,消费潜力客户
70,1,238.44,1,0,1,101,频次深耕客户
534,1,85.6,0,0,0,000,流失客户
83,1,100.75,1,0,0,100,重要客户预警流失客户
562,1,62.83,0,0,0,000,流失客户
188,1,72.15,1,0,0,100,重要客户预警流失客户
196,2,1669.88,1,1,1,111,重要价值客户
210,1,103.16,1,0,0,100,重要客户预警流失客户
488,1,305.7,0,0,1,001,新客户
236,1,147.15,0,0,0,000,流失客户
170,1,68.13,1,0,0,100,重要客户预警流失客户
276,1,127.14,0,0,0,000,流失客户
180,1,230.86,1,0,1,101,频次深耕客户
32,4,575.61,1,1,1,111,重要价值客户
261,1,35.69,0,0,0,000,流失客户
196,1,37.9,1,0,0,100,重要客户预警流失客户
47,1,88.09,1,0,0,100,重要客户预警流失客户
379,1,266.86,0,0,1,001,新客户
120,1,412.42,1,0,1,101,频次深耕客户
214,1,219.28,1,0,1,101,频次深耕客户
236,1,108.0,0,0,0,000,流失客户
134,1,66.24,1,0,0,100,重要客户预警流失客户
104,1,82.92,1,0,0,100,重要客户预警流失客户
125,1,83.37,1,0,0,100,重要客户预警流失客户
328,1,62.78,0,0,0,000,流失客户
346,2,350.56,0,1,1,011,消费潜力客户
410,1,37.72,0,0,0,000,流失客户
71,1,81.1,1,0,0,100,重要客户预警流失客户
182,1,42.78,1,0,0,100,重要客户预警流失客户
372,1,43.69,0,0,0,000,流失客户
411,1,43.91,0,0,0,000,流失客户
92,1,42.79,1,0,0,100,重要客户预警流失客户
57,1,94.5,1,0,0,100,重要客户预警流失客户
475,1,29.1,0,0,0,000,流失客户
147,2,184.52,1,1,0,110,高消费唤醒客户
584,1,159.11,0,0,0,000,流失客户
227,1,168.33,0,0,0,000,流失客户
171,1,89.36,1,0,0,100,重要客户预警流失客户
28,1,1841.11,1,0,1,101,频次深耕客户
132,1,37.23,1,0,0,100,重要客户预警流失客户
140,2,58.61,1,1,0,110,高消费唤醒客户
105,1,70.4,1,0,0,100,重要客户预警流失客户
187,1,81.79,1,0,0,100,重要客户预警流失客户
110,1,17.29,1,0,0,100,重要客户预警流失客户
172,2,75.31,1,1,0,110,高消费唤醒客户
418,1,56.85,0,0,0,000,流失客户
325,1,51.0,0,0,0,000,流失客户
289,1,206.99,0,0,1,001,新客户
399,1,42.77,0,0,0,000,流失客户
446,1,111.81,0,0,0,000,流失客户
449,1,100.33,0,0,0,000,流失客户
541,1,28.62,0,0,0,000,流失客户
400,1,192.66,0,0,0,000,流失客户
373,1,55.09,0,0,0,000,流失客户
